Category,scheme_name,scheme_url,scheme_pr_url
Value Fund,HDFC Value Fund - Direct Plan - Growth,https://www.moneycontrol.com/mutual-funds/nav/hdfc-value-fund-direct-plan-growth/MHD1148,https://www.moneycontrol.com/mutual-funds/hdfc-value-fund-direct-plan-growth/MHD1148/portfolio-overview/MHD1148
Value Fund,Aditya Birla Sun Life Value Fund - Direct Plan - Growth,https://www.moneycontrol.com/mutual-funds/nav/aditya-birla-sun-life-value-fund-direct-plan-growth/MBS831,https://www.moneycontrol.com/mutual-funds/aditya-birla-sun-life-value-fund-direct-plan-growth/MBS831/portfolio-overview/MBS831
Sectoral/Thematic,Tata Resources & Energy Fund - Direct Plan - Growth,https://www.moneycontrol.com/mutual-funds/nav/tata-resources-energy-fund-direct-plan-growth/MTA1159,https://www.moneycontrol.com/mutual-funds/tata-resources-energy-fund-direct-plan-growth/MTA1159/portfolio-overview/MTA1159
ELSS,Sundaram Long Term Micro Cap Tax Advantage Fund - Series V - Direct Plan - Growth,https://www.moneycontrol.com/mutual-funds/nav/sundaram-long-term-micro-cap-tax-advantage-fund-series-v-direct-plan-growth/MSN1322,https://www.moneycontrol.com/mutual-funds/sundaram-long-term-micro-cap-tax-advantage-fund-series-v-direct-plan-growth/MSN1322/portfolio-overview/MSN1322
Sectoral/Thematic,Tata Banking And Financial Services Fund - Direct Plan - Growth,https://www.moneycontrol.com/mutual-funds/nav/tata-banking-and-financial-services-fund-direct-plan-growth/MTA1143,https://www.moneycontrol.com/mutual-funds/tata-banking-and-financial-services-fund-direct-plan-growth/MTA1143/portfolio-overview/MTA1143
Value Fund,Canara Robeco Value Fund - Direct Plan - Growth,https://www.moneycontrol.com/mutual-funds/nav/canara-robeco-value-fund-direct-plan-growth/MCA329,https://www.moneycontrol.com/mutual-funds/canara-robeco-value-fund-direct-plan-growth/MCA329/portfolio-overview/MCA329
Multi Cap Fund,Invesco India Multicap Fund - Direct Plan - Growth,https://www.moneycontrol.com/mutual-funds/nav/invesco-india-multicap-fund-direct-plan-growth/MLI554,https://www.moneycontrol.com/mutual-funds/invesco-india-multicap-fund-direct-plan-growth/MLI554/portfolio-overview/MLI554
Flexi Cap Fund,Parag Parikh Flexi Cap Fund - Growth,https://www.moneycontrol.com/mutual-funds/nav/parag-parikh-flexi-cap-fund-growth/MPP001,https://www.moneycontrol.com/mutual-funds/parag-parikh-flexi-cap-fund-growth/MPP001/portfolio-overview/MPP001
Multi Cap Fund,ICICI Prudential Multicap Fund - Growth,https://www.moneycontrol.com/mutual-funds/nav/icici-prudential-multicap-fund-growth/MPI028,https://www.moneycontrol.com/mutual-funds/icici-prudential-multicap-fund-growth/MPI028/portfolio-overview/MPI028
Sectoral/Thematic,HDFC Housing Opportunities Fund - Growth,https://www.moneycontrol.com/mutual-funds/nav/hdfc-housing-opportunities-fund-growth/MHD3091,https://www.moneycontrol.com/mutual-funds/hdfc-housing-opportunities-fund-growth/MHD3091/portfolio-overview/MHD3091
Large & Mid Cap Fund,Kotak Large & Midcap Fund - Direct Plan - Growth,https://www.moneycontrol.com/mutual-funds/nav/kotak-large-midcap-fund-direct-plan-growth/MKM522,https://www.moneycontrol.com/mutual-funds/kotak-large-midcap-fund-direct-plan-growth/MKM522/portfolio-overview/MKM522
ELSS,Franklin India ELSS Tax Saver Fund - Direct Plan - Growth,https://www.moneycontrol.com/mutual-funds/nav/franklin-india-elss-tax-saver-fund-direct-plan-growth/MTE311,https://www.moneycontrol.com/mutual-funds/franklin-india-elss-tax-saver-fund-direct-plan-growth/MTE311/portfolio-overview/MTE311
Large Cap Fund,Nippon India Large Cap Fund - Direct Plan - Growth,https://www.moneycontrol.com/mutual-funds/nav/nippon-india-large-cap-fund-direct-plan-growth/MRC940,https://www.moneycontrol.com/mutual-funds/nippon-india-large-cap-fund-direct-plan-growth/MRC940/portfolio-overview/MRC940
Contra Fund,Invesco India Contra Fund - Growth,https://www.moneycontrol.com/mutual-funds/nav/invesco-india-contra-fund-growth/MLI019,https://www.moneycontrol.com/mutual-funds/invesco-india-contra-fund-growth/MLI019/portfolio-overview/MLI019
Value Fund,Templeton India Value Fund - Direct - Growth,https://www.moneycontrol.com/mutual-funds/nav/templeton-india-value-fund-direct-growth/MTE295,https://www.moneycontrol.com/mutual-funds/templeton-india-value-fund-direct-growth/MTE295/portfolio-overview/MTE295
Sectoral/Thematic,Nippon India Quant Fund - Growth,https://www.moneycontrol.com/mutual-funds/nav/nippon-india-quant-fund-growth/MRC346,https://www.moneycontrol.com/mutual-funds/nippon-india-quant-fund-growth/MRC346/portfolio-overview/MRC346
ELSS,DSP ELSS Tax Saver Fund - Direct Plan - Growth,https://www.moneycontrol.com/mutual-funds/nav/dsp-elss-tax-saver-fund-direct-plan-growth/MDS572,https://www.moneycontrol.com/mutual-funds/dsp-elss-tax-saver-fund-direct-plan-growth/MDS572/portfolio-overview/MDS572
Sectoral/Thematic,UTI Transportation and Logistics Fund - Growth,https://www.moneycontrol.com/mutual-funds/nav/uti-transportation-and-logistics-fund-growth/MUT066,https://www.moneycontrol.com/mutual-funds/uti-transportation-and-logistics-fund-growth/MUT066/portfolio-overview/MUT066
Sectoral/Thematic,ICICI Prudential Exports and Services Fund - Growth,https://www.moneycontrol.com/mutual-funds/nav/icici-prudential-exports-and-services-fund-growth/MPI110,https://www.moneycontrol.com/mutual-funds/icici-prudential-exports-and-services-fund-growth/MPI110/portfolio-overview/MPI110
Flexi Cap Fund,HSBC Flexi Cap Fund - Direct Plan - Growth,https://www.moneycontrol.com/mutual-funds/nav/hsbc-flexi-cap-fund-direct-plan-growth/MHS333,https://www.moneycontrol.com/mutual-funds/hsbc-flexi-cap-fund-direct-plan-growth/MHS333/portfolio-overview/MHS333
ELSS,HSBC Tax Saver Equity Fund - Direct Plan - Growth,https://www.moneycontrol.com/mutual-funds/nav/hsbc-tax-saver-equity-fund-direct-plan-growth/MHS319,https://www.moneycontrol.com/mutual-funds/hsbc-tax-saver-equity-fund-direct-plan-growth/MHS319/portfolio-overview/MHS319
Flexi Cap Fund,Franklin India Flexi Cap Fund - Direct - Growth,https://www.moneycontrol.com/mutual-funds/nav/franklin-india-flexi-cap-fund-direct-growth/MTE315,https://www.moneycontrol.com/mutual-funds/franklin-india-flexi-cap-fund-direct-growth/MTE315/portfolio-overview/MTE315
Dividend Yield Fund,HDFC Dividend Yield Fund - Direct Plan - Growth,https://www.moneycontrol.com/mutual-funds/nav/hdfc-dividend-yield-fund-direct-plan-growth/MHD3467,https://www.moneycontrol.com/mutual-funds/hdfc-dividend-yield-fund-direct-plan-growth/MHD3467/portfolio-overview/MHD3467
Multi Asset Allocation,Quant Multi Asset Allocation Fund - Growth,https://www.moneycontrol.com/mutual-funds/nav/quant-multi-asset-allocation-fund-growth/MES007,https://www.moneycontrol.com/mutual-funds/quant-multi-asset-allocation-fund-growth/MES007/portfolio-overview/MES007
Multi Cap Fund,Baroda BNP Paribas Multi Cap Fund - Direct Plan - Growth,https://www.moneycontrol.com/mutual-funds/nav/baroda-bnp-paribas-multi-cap-fund-direct-plan-growth/MBO088,https://www.moneycontrol.com/mutual-funds/baroda-bnp-paribas-multi-cap-fund-direct-plan-growth/MBO088/portfolio-overview/MBO088
Large & Mid Cap Fund,HSBC Large & Midcap Fund - Direct Plan - Growth,https://www.moneycontrol.com/mutual-funds/nav/hsbc-large-midcap-fund-direct-plan-growth/MHS526,https://www.moneycontrol.com/mutual-funds/hsbc-large-midcap-fund-direct-plan-growth/MHS526/portfolio-overview/MHS526
Sectoral/Thematic,SBI Banking & Financial Services Fund - Direct Plan - Growth,https://www.moneycontrol.com/mutual-funds/nav/sbi-banking-financial-services-fund-direct-plan-growth/MSB1101,https://www.moneycontrol.com/mutual-funds/sbi-banking-financial-services-fund-direct-plan-growth/MSB1101/portfolio-overview/MSB1101
Small Cap Fund,Axis Small Cap Fund - Growth,https://www.moneycontrol.com/mutual-funds/nav/axis-small-cap-fund-growth/MAA314,https://www.moneycontrol.com/mutual-funds/axis-small-cap-fund-growth/MAA314/portfolio-overview/MAA314
Sectoral/Thematic,Franklin India Technology Fund - Growth,https://www.moneycontrol.com/mutual-funds/nav/franklin-india-technology-fund-growth/MKP004,https://www.moneycontrol.com/mutual-funds/franklin-india-technology-fund-growth/MKP004/portfolio-overview/MKP004
Flexi Cap Fund,Quant Flexi Cap Fund - Direct Plan - Growth,https://www.moneycontrol.com/mutual-funds/nav/quant-flexi-cap-fund-direct-plan-growth/MES041,https://www.moneycontrol.com/mutual-funds/quant-flexi-cap-fund-direct-plan-growth/MES041/portfolio-overview/MES041
Multi Cap Fund,Bandhan Multicap Fund - Direct Plan - Growth,https://www.moneycontrol.com/mutual-funds/nav/bandhan-multicap-fund-direct-plan-growth/MAG2138,https://www.moneycontrol.com/mutual-funds/bandhan-multicap-fund-direct-plan-growth/MAG2138/portfolio-overview/MAG2138
ELSS,Parag Parikh ELSS Tax Saver Fund - Direct Plan - Growth,https://www.moneycontrol.com/mutual-funds/nav/parag-parikh-elss-tax-saver-fund-direct-plan-growth/MPP013,https://www.moneycontrol.com/mutual-funds/parag-parikh-elss-tax-saver-fund-direct-plan-growth/MPP013/portfolio-overview/MPP013
Sectoral/Thematic,Sundaram Services Fund - Direct Plan - Growth,https://www.moneycontrol.com/mutual-funds/nav/sundaram-services-fund-direct-plan-growth/MSN1456,https://www.moneycontrol.com/mutual-funds/sundaram-services-fund-direct-plan-growth/MSN1456/portfolio-overview/MSN1456
